zip;state;city;lat;lng
36069;AL;Ramer;32.067.745;-86.246.329
36071;AL;Rutledge;31.755.867;-86.348.464
36075;AL;Shorter;32.383.585;-8.591.616
36078;AL;Tallassee;32.550.997;-8.589.781
36080;AL;Titus;32.690.019;-86.239.334
36081;AL;Troy;31.794.471;-85.965.493
36083;AL;Tuskegee;32.431.623;-8.568.606
36088;AL;Tuskegee Institu;32.417.699;-85.714.848
36089;AL;Union Springs;32.166.252;-85.678.746
36091;AL;Verbena;32.759.565;-86.543.753
36092;AL;Wetumpka;3.254.509;-86.188.039
36104;AL;Montgomery;32.373.037;-86.308.129
36105;AL;Montgomery;3.232.573;-86.310.449
36106;AL;Montgomery;32.354.268;-86.267.278
36107;AL;Montgomery;32.380.405;-86.279.885
36108;AL;Montgomery;32.341.682;-86.352.904
36109;AL;Montgomery;32.383.443;-86.243.394
36110;AL;Montgomery;32.421.686;-86.274.997
36111;AL;Montgomery;32.337.363;-86.271.543
36113;AL;Maxwell A F B;32.388.133;-86.355.848
36115;AL;Gunter Afs;32.406.814;-86.247.327
36116;AL;Montgomery;32.312.943;-86.242.056
36117;AL;Montgomery;32.373.568;-86.183.299
36201;AL;Anniston;33.653.896;-85.838.152
36203;AL;Oxford;33.596.829;-8.583.347
36205;AL;Fort Mc Clellan;33.710.168;-85.801.467
36206;AL;Anniston;33.719.124;-85.838.904
36250;AL;Alexandria;33.780.785;-85.892.447
36251;AL;Ashland;33.247.363;-85.828.976
36255;AL;Cragford;33.217.148;-85.710.797
36256;AL;Daviston;33.033.471;-85.753.831
36258;AL;Delta;33.457.303;-85.679.279
36260;AL;Eastaboga;33.603.132;-8.596.075
36262;AL;Fruithurst;33.771.732;-8.543.814
36263;AL;Graham;33.462.976;-85.334.034
36264;AL;Heflin;33.611.515;-85.588.471
36265;AL;Jacksonville;33.830.966;-8.577.518
36266;AL;Lineville;33.328.613;-85.734.609
36267;AL;Millerville;33.158.959;-85.969.001
36268;AL;Munford;33.540.987;-85.936.322
36269;AL;Muscadine;33.752.913;-85.378.907
36270;AL;Newell;33.440.172;-85.505.925
36271;AL;Ohatchee;33.778.779;-86.025.357
36272;AL;Piedmont;33.838.946;-85.645.997
36273;AL;Ranburne;33.561.627;-85.378.604
36274;AL;Rock Mills;33.156.443;-85.357.854
36276;AL;Wadley;33.149.192;-85.551.344
36277;AL;Weaver;33.756.286;-85.810.666
36278;AL;Wedowee;33.301.854;-85.473.737
36279;AL;Wellington;33.863.843;-85.915.325
36280;AL;Woodland;33.355.453;-85.353.768
36301;AL;Taylor;31.202.888;-85.418.036
